Year,Site_code,Species,TotalBirds,Relative Abund Index,Season
2015,PC-01,ANHU,2,0.285714286,Breeding
2015,PC-01,ATFL,4,0.571428571,Breeding
2015,PC-01,BEWR,6,0.857142857,Breeding
2015,PC-01,BHGR,1,0.142857143,Breeding
2015,PC-01,BUSH,3,0.428571429,Breeding
2015,PC-01,CALT,2,0.285714286,Breeding
2015,PC-01,CLSW,1,0.142857143,Breeding
2015,PC-01,CORA,1,0.142857143,Breeding
2015,PC-01,COYE,3,0.428571429,Breeding
2015,PC-01,DOWO,1,0.142857143,Breeding
2015,PC-01,HAWO,2,0.285714286,Breeding
2015,PC-01,HOFI,4,0.571428571,Breeding
2015,PC-01,HUVI,2,0.285714286,Breeding
2015,PC-01,LBVI,5,0.714285714,Breeding
2015,PC-01,LEGO,2,0.285714286,Breeding
2015,PC-01,MODO,1,0.142857143,Breeding
2015,PC-01,PSFL,1,0.142857143,Breeding
2015,PC-01,SOSP,1,0.142857143,Breeding
2015,PC-01,SPTO,2,0.285714286,Breeding
2015,PC-01,WAVI,1,0.142857143,Breeding
2015,PC-01,WREN,1,0.142857143,Breeding
2015,PC-01,YBCH,1,0.142857143,Breeding
2015,PC-01,YEWA,5,0.714285714,Breeding
2015,PC-02,AMGO,5,0.714285714,Breeding
2015,PC-02,ATFL,5,0.714285714,Breeding
2015,PC-02,BARS,1,0.142857143,Breeding
2015,PC-02,BEWR,6,0.857142857,Breeding
2015,PC-02,BGGN,2,0.285714286,Breeding
2015,PC-02,BHGR,2,0.285714286,Breeding
2015,PC-02,BUSH,2,0.285714286,Breeding
2015,PC-02,CASJ,1,0.142857143,Breeding
2015,PC-02,CATH,1,0.142857143,Breeding
2015,PC-02,HOFI,4,0.571428571,Breeding
2015,PC-02,LBVI,3,0.428571429,Breeding
2015,PC-02,LEGO,1,0.142857143,Breeding
2015,PC-02,MODO,3,0.428571429,Breeding
2015,PC-02,NUWO,2,0.285714286,Breeding
2015,PC-02,OCWA,1,0.142857143,Breeding
2015,PC-02,PSFL,3,0.428571429,Breeding
2015,PC-02,SOSP,2,0.285714286,Breeding
2015,PC-02,SPTO,2,0.285714286,Breeding
2015,PC-02,TRES,3,0.428571429,Breeding
2015,PC-02,UNSW,1,0.142857143,Breeding
2015,PC-02,VGSW,5,0.714285714,Breeding
2015,PC-02,WAVI,1,0.142857143,Breeding
2015,PC-02,WREN,2,0.285714286,Breeding
2015,PC-02,WTSW,4,0.571428571,Breeding
2015,PC-02,YEWA,8,1.142857143,Breeding
2015,PC-03,AMGO,4,0.571428571,Breeding
2015,PC-03,ATFL,1,0.142857143,Breeding
2015,PC-03,BEWR,1,0.142857143,Breeding
2015,PC-03,BUSH,8,1.142857143,Breeding
2015,PC-03,COYE,12,1.714285714,Breeding
2015,PC-03,DOWO,3,0.428571429,Breeding
2015,PC-03,LBVI,1,0.142857143,Breeding
2015,PC-03,LEGO,4,0.571428571,Breeding
