Year,Site_code,Species,TotalBirds,Relative Abund Index,Season
2015,PC-01,BEWR,2,0.5,Nonbreeding
2015,PC-01,BGGN,1,0.25,Nonbreeding
2015,PC-01,BUSH,10,2.5,Nonbreeding
2015,PC-01,CAQU,1,0.25,Nonbreeding
2015,PC-01,HAWO,2,0.5,Nonbreeding
2015,PC-01,HOFI,12,3,Nonbreeding
2015,PC-01,MODO,1,0.25,Nonbreeding
2015,PC-01,RCKI,1,0.25,Nonbreeding
2015,PC-01,SOSP,1,0.25,Nonbreeding
2015,PC-01,YRWA,9,2.25,Nonbreeding
2015,PC-02,AMGO,2,0.5,Nonbreeding
2015,PC-02,ANHU,1,0.25,Nonbreeding
2015,PC-02,BUSH,3,0.75,Nonbreeding
2015,PC-02,CASJ,4,1,Nonbreeding
2015,PC-02,GBHE,1,0.25,Nonbreeding
2015,PC-02,HAWO,1,0.25,Nonbreeding
2015,PC-02,HETH,1,0.25,Nonbreeding
2015,PC-02,HOFI,2,0.5,Nonbreeding
2015,PC-02,HOWR,1,0.25,Nonbreeding
2015,PC-02,NOFL,1,0.25,Nonbreeding
2015,PC-02,NUWO,1,0.25,Nonbreeding
2015,PC-02,UNHU,1,0.25,Nonbreeding
2015,PC-02,YRWA,14,3.5,Nonbreeding
2015,PC-03,AMGO,1,0.25,Nonbreeding
2015,PC-03,BEWR,1,0.25,Nonbreeding
2015,PC-03,BUSH,6,1.5,Nonbreeding
2015,PC-03,COHA,1,0.25,Nonbreeding
2015,PC-03,COYE,1,0.25,Nonbreeding
2015,PC-03,HETH,1,0.25,Nonbreeding
2015,PC-03,LEGO,4,1,Nonbreeding
2015,PC-03,RCKI,1,0.25,Nonbreeding
2015,PC-03,SOSP,4,1,Nonbreeding
2015,PC-03,WREN,2,0.5,Nonbreeding
2015,PC-03,YRWA,4,1,Nonbreeding
2015,PC-04,ANHU,4,1,Nonbreeding
2015,PC-04,BEWR,2,0.5,Nonbreeding
2015,PC-04,BGGN,2,0.5,Nonbreeding
2015,PC-04,BLPH,1,0.25,Nonbreeding
2015,PC-04,BRBL,7,1.75,Nonbreeding
2015,PC-04,COYE,4,1,Nonbreeding
2015,PC-04,HOWR,1,0.25,Nonbreeding
2015,PC-04,LEGO,2,0.5,Nonbreeding
2015,PC-04,RWBL,1,0.25,Nonbreeding
2015,PC-04,WREN,3,0.75,Nonbreeding
2015,PC-04,YRWA,8,2,Nonbreeding
2015,PC-05,AMGO,1,0.25,Nonbreeding
2015,PC-05,BEWR,1,0.25,Nonbreeding
2015,PC-05,BGGN,1,0.25,Nonbreeding
2015,PC-05,BTYW,3,0.75,Nonbreeding
2015,PC-05,BUSH,15,3.75,Nonbreeding
2015,PC-05,COYE,6,1.5,Nonbreeding
2015,PC-05,HAWO,2,0.5,Nonbreeding
2015,PC-05,HETH,2,0.5,Nonbreeding
2015,PC-05,HOFI,1,0.25,Nonbreeding
2015,PC-05,HUVI,1,0.25,Nonbreeding
2015,PC-05,RCKI,1,0.25,Nonbreeding
2015,PC-05,SOSP,1,0.25,Nonbreeding
2015,PC-05,SPTO,1,0.25,Nonbreeding
2015,PC-05,UNWO,2,0.5,Nonbreeding
2015,PC-05,WREN,1,0.25,Nonbreeding
2015,PC-05,YRWA,11,2.75,Nonbreeding
2015,PC-06,ANHU,2,0.5,Nonbreeding
2015,PC-06,BEWR,1,0.25,Nonbreeding
2015,PC-06,BLPH,1,0.25,Nonbreeding
2015,PC-06,COYE,3,0.75,Nonbreeding
2015,PC-06,DOWO,1,0.25,Nonbreeding
2015,PC-06,HETH,1,0.25,Nonbreeding
2015,PC-06,HOFI,2,0.5,Nonbreeding
2015,PC-06,HUVI,1,0.25,Nonbreeding
2015,PC-06,NOFL,1,0.25,Nonbreeding
2015,PC-06,RCKI,1,0.25,Nonbreeding
2015,PC-06,UNVI,1,0.25,Nonbreeding
2015,PC-06,WEBL,6,1.5,Nonbreeding
2015,PC-06,WREN,4,1,Nonbreeding
2015,PC-06,YRWA,4,1,Nonbreeding
2015,PC-07,ACWO,1,0.25,Nonbreeding
2015,PC-07,AMGO,1,0.25,Nonbreeding
2015,PC-07,ANHU,3,0.75,Nonbreeding
2015,PC-07,BGGN,1,0.25,Nonbreeding
2015,PC-07,BUSH,1,0.25,Nonbreeding
2015,PC-07,CAQU,4,1,Nonbreeding
2015,PC-07,CASJ,5,1.25,Nonbreeding
2015,PC-07,COYE,1,0.25,Nonbreeding
2015,PC-07,HETH,1,0.25,Nonbreeding
2015,PC-07,HOFI,2,0.5,Nonbreeding
2015,PC-07,HUVI,2,0.5,Nonbreeding
2015,PC-07,LEGO,1,0.25,Nonbreeding
2015,PC-07,NOFL,1,0.25,Nonbreeding
2015,PC-07,NUWO,1,0.25,Nonbreeding
2015,PC-07,OATI,1,0.25,Nonbreeding
2015,PC-07,PSFL,1,0.25,Nonbreeding
2015,PC-07,PUFI,1,0.25,Nonbreeding
2015,PC-07,RCKI,2,0.5,Nonbreeding
2015,PC-07,SPTO,3,0.75,Nonbreeding
2015,PC-07,WREN,2,0.5,Nonbreeding
2015,PC-07,YRWA,4,1,Nonbreeding
2015,PC-08,ACWO,1,0.25,Nonbreeding
2015,PC-08,AMGO,1,0.25,Nonbreeding
2015,PC-08,AMRO,1,0.25,Nonbreeding
2015,PC-08,ANHU,1,0.25,Nonbreeding
2015,PC-08,BEWR,2,0.5,Nonbreeding
2015,PC-08,BGGN,1,0.25,Nonbreeding
2015,PC-08,BRBL,1,0.25,Nonbreeding
2015,PC-08,BUSH,43,10.75,Nonbreeding
2015,PC-08,CASJ,2,0.5,Nonbreeding
2015,PC-08,COYE,1,0.25,Nonbreeding
2015,PC-08,DOWO,1,0.25,Nonbreeding
2015,PC-08,HETH,1,0.25,Nonbreeding
2015,PC-08,HOFI,1,0.25,Nonbreeding
2015,PC-08,HUVI,2,0.5,Nonbreeding
