bin_start,bin_break,bin_index,frequency,site,year
0,1,1,0.024508171818384585,HR 1,2015
1,2,2,0.19826164302996196,HR 1,2015
2,3,3,0.1830788846405057,HR 1,2015
3,4,4,0.1433052172844799,HR 1,2015
4,5,5,0.10185963879974388,HR 1,2015
5,6,6,0.07067805731577176,HR 1,2015
6,7,7,0.05613360699597668,HR 1,2015
7,8,8,0.04688919977081187,HR 1,2015
8,9,9,0.03994086854963478,HR 1,2015
9,10,10,0.035259909959007775,HR 1,2015
10,11,11,0.03135007535828771,HR 1,2015
11,12,12,0.026855121350874988,HR 1,2015
12,13,13,0.02078814354832022,HR 1,2015
13,14,14,0.013258573210933294,HR 1,2015
14,15,15,0.005488457920773174,HR 1,2015
15,16,16,0.002158831542761301,HR 1,2015
16,17,17,1.8559890377041534e-4,HR 1,2015
17,18,18,NA,HR 1,2015
18,19,19,NA,HR 1,2015
19,20,20,NA,HR 1,2015
20,21,21,NA,HR 1,2015
21,22,22,NA,HR 1,2015
22,23,23,NA,HR 1,2015
23,24,24,NA,HR 1,2015
24,25,25,NA,HR 1,2015
25,26,26,NA,HR 1,2015
26,27,27,NA,HR 1,2015
27,28,28,NA,HR 1,2015
28,29,29,NA,HR 1,2015
29,30,30,NA,HR 1,2015
0,1,1,0.0853211858952147,HR 2,2015
1,2,2,0.5708813008597731,HR 2,2015
2,3,3,0.22607040464863581,HR 2,2015
3,4,4,0.06476452392794729,HR 2,2015
4,5,5,0.02920861786771418,HR 2,2015
5,6,6,0.014434622067425806,HR 2,2015
6,7,7,0.006769369212716586,HR 2,2015
7,8,8,0.0021125415407430947,HR 2,2015
8,9,9,4.2126581735220446e-4,HR 2,2015
9,10,10,1.616816247726597e-5,HR 2,2015
10,11,11,NA,HR 2,2015
11,12,12,NA,HR 2,2015
12,13,13,NA,HR 2,2015
13,14,14,NA,HR 2,2015
14,15,15,NA,HR 2,2015
15,16,16,NA,HR 2,2015
16,17,17,NA,HR 2,2015
17,18,18,NA,HR 2,2015
18,19,19,NA,HR 2,2015
19,20,20,NA,HR 2,2015
20,21,21,NA,HR 2,2015
21,22,22,NA,HR 2,2015
22,23,23,NA,HR 2,2015
23,24,24,NA,HR 2,2015
24,25,25,NA,HR 2,2015
25,26,26,NA,HR 2,2015
26,27,27,NA,HR 2,2015
27,28,28,NA,HR 2,2015
28,29,29,NA,HR 2,2015
29,30,30,NA,HR 2,2015
0,1,1,0.08928512192153999,HR 3,2015
1,2,2,0.476936627730683,HR 3,2015
2,3,3,0.19030309227912207,HR 3,2015
3,4,4,0.08742673198768852,HR 3,2015
4,5,5,0.06197850725607867,HR 3,2015
5,6,6,0.03887134524869212,HR 3,2015
6,7,7,0.02560662219468957,HR 3,2015
7,8,8,0.01584330273128517,HR 3,2015
8,9,9,0.007508691165324979,HR 3,2015
9,10,10,0.0035984306941842124,HR 3,2015
10,11,11,0.0018390979885333167,HR 3,2015
11,12,12,6.150476372864194e-4,HR 3,2015
12,13,13,1.7616059828373413e-4,HR 3,2015
13,14,14,1.1220566608215961e-5,HR 3,2015
14,15,15,NA,HR 3,2015
15,16,16,NA,HR 3,2015
16,17,17,NA,HR 3,2015
17,18,18,NA,HR 3,2015
18,19,19,NA,HR 3,2015
19,20,20,NA,HR 3,2015
20,21,21,NA,HR 3,2015
21,22,22,NA,HR 3,2015
22,23,23,NA,HR 3,2015
23,24,24,NA,HR 3,2015
24,25,25,NA,HR 3,2015
25,26,26,NA,HR 3,2015
26,27,27,NA,HR 3,2015
27,28,28,NA,HR 3,2015
28,29,29,NA,HR 3,2015
29,30,30,NA,HR 3,2015
0,1,1,0.07771334651074653,HR 4,2015
1,2,2,0.5010773568651483,HR 4,2015
2,3,3,0.21213223432500164,HR 4,2015
3,4,4,0.08003908416194748,HR 4,2015
4,5,5,0.04475490335263255,HR 4,2015
5,6,6,0.029914086094086433,HR 4,2015
6,7,7,0.01930132744708211,HR 4,2015
7,8,8,0.014632850907385723,HR 4,2015
8,9,9,0.009549985518355408,HR 4,2015
9,10,10,0.005890450116721958,HR 4,2015
10,11,11,0.00324553909649235,HR 4,2015
11,12,12,0.0013838930080566272,HR 4,2015
12,13,13,3.566072985179249e-4,HR 4,2015
13,14,14,8.335297824980261e-6,HR 4,2015
14,15,15,NA,HR 4,2015
15,16,16,NA,HR 4,2015
16,17,17,NA,HR 4,2015
17,18,18,NA,HR 4,2015
18,19,19,NA,HR 4,2015
19,20,20,NA,HR 4,2015
20,21,21,NA,HR 4,2015
21,22,22,NA,HR 4,2015
22,23,23,NA,HR 4,2015
23,24,24,NA,HR 4,2015
24,25,25,NA,HR 4,2015
25,26,26,NA,HR 4,2015
26,27,27,NA,HR 4,2015
27,28,28,NA,HR 4,2015
28,29,29,NA,HR 4,2015
29,30,30,NA,HR 4,2015
0,1,1,0.05775319128357993,HR 5,2015
1,2,2,0.3759824229556296,HR 5,2015
2,3,3,0.22344513922981385,HR 5,2015
3,4,4,0.12212131147856503,HR 5,2015
4,5,5,0.08123559707237278,HR 5,2015
5,6,6,0.054927027915707444,HR 5,2015
6,7,7,0.03733051687639482,HR 5,2015
7,8,8,0.023404374527966773,HR 5,2015
8,9,9,0.011195097750062936,HR 5,2015
9,10,10,0.006080552236369273,HR 5,2015
10,11,11,0.003503200104619277,HR 5,2015
11,12,12,0.0017055065427671703,HR 5,2015
12,13,13,8.587172158051931e-4,HR 5,2015
13,14,14,3.772077910356849e-4,HR 5,2015
14,15,15,6.156303656086285e-5,HR 5,2015
15,16,16,1.857398274934218e-5,HR 5,2015
16,17,17,NA,HR 5,2015
17,18,18,NA,HR 5,2015
18,19,19,NA,HR 5,2015
19,20,20,NA,HR 5,2015
20,21,21,NA,HR 5,2015
21,22,22,NA,HR 5,2015
22,23,23,NA,HR 5,2015
23,24,24,NA,HR 5,2015
24,25,25,NA,HR 5,2015
25,26,26,NA,HR 5,2015
26,27,27,NA,HR 5,2015
27,28,28,NA,HR 5,2015
28,29,29,NA,HR 5,2015
29,30,30,NA,HR 5,2015
0,1,1,0.07735719073885625,HR 6,2015
1,2,2,0.5610795197579616,HR 6,2015
2,3,3,0.2231603157862058,HR 6,2015
3,4,4,0.07707199073736634,HR 6,2015
4,5,5,0.035808885271914725,HR 6,2015
5,6,6,0.015350583900963718,HR 6,2015
6,7,7,0.005169428815212404,HR 6,2015
7,8,8,0.002336626689374104,HR 6,2015
8,9,9,0.0014591249460606146,HR 6,2015
9,10,10,8.308896980160086e-4,HR 6,2015
10,11,11,3.274076087092313e-4,HR 6,2015
11,12,12,4.803604935926088e-5,HR 6,2015
12,13,13,NA,HR 6,2015
13,14,14,NA,HR 6,2015
14,15,15,NA,HR 6,2015
15,16,16,NA,HR 6,2015
16,17,17,NA,HR 6,2015
17,18,18,NA,HR 6,2015
18,19,19,NA,HR 6,2015
19,20,20,NA,HR 6,2015
20,21,21,NA,HR 6,2015
21,22,22,NA,HR 6,2015
22,23,23,NA,HR 6,2015
23,24,24,NA,HR 6,2015
24,25,25,NA,HR 6,2015
25,26,26,NA,HR 6,2015
26,27,27,NA,HR 6,2015
27,28,28,NA,HR 6,2015
28,29,29,NA,HR 6,2015
29,30,30,NA,HR 6,2015
0,1,1,0.051989870445989475,HR 7,2015
1,2,2,0.3744020258114699,HR 7,2015
2,3,3,0.23561439903304301,HR 7,2015
3,4,4,0.13691080078551865,HR 7,2015
4,5,5,0.08858445579182656,HR 7,2015
5,6,6,0.05501019963149576,HR 7,2015
6,7,7,0.03040909099885081,HR 7,2015
7,8,8,0.015876356732675435,HR 7,2015
8,9,9,0.007610810104221027,HR 7,2015
9,10,10,0.002625172042361637,HR 7,2015
10,11,11,6.938926130317071e-4,HR 7,2015
11,12,12,2.5313419855166195e-4,HR 7,2015
12,13,13,1.9791810964330317e-5,HR 7,2015
13,14,14,NA,HR 7,2015
14,15,15,NA,HR 7,2015
15,16,16,NA,HR 7,2015
16,17,17,NA,HR 7,2015
17,18,18,NA,HR 7,2015
18,19,19,NA,HR 7,2015
19,20,20,NA,HR 7,2015
20,21,21,NA,HR 7,2015
21,22,22,NA,HR 7,2015
22,23,23,NA,HR 7,2015
23,24,24,NA,HR 7,2015
24,25,25,NA,HR 7,2015
25,26,26,NA,HR 7,2015
26,27,27,NA,HR 7,2015
27,28,28,NA,HR 7,2015
28,29,29,NA,HR 7,2015
29,30,30,NA,HR 7,2015
0,1,1,0.022578675641484164,HR 8,2015
1,2,2,0.2046650427058736,HR 8,2015
2,3,3,0.18967803029546806,HR 8,2015
3,4,4,0.15795713909806613,HR 8,2015
4,5,5,0.12155264641772033,HR 8,2015
5,6,6,0.08744545772535126,HR 8,2015
6,7,7,0.06541025953700368,HR 8,2015
7,8,8,0.04836431198454715,HR 8,2015
8,9,9,0.03955466354899141,HR 8,2015
9,10,10,0.02355180451374517,HR 8,2015
10,11,11,0.016195285987541254,HR 8,2015
11,12,12,0.01216746626037398,HR 8,2015
12,13,13,0.006336506513543277,HR 8,2015
13,14,14,0.0033717242210858102,HR 8,2015
14,15,15,0.0010315786959252564,HR 8,2015
15,16,16,1.394068532794814e-4,HR 8,2015
16,17,17,NA,HR 8,2015
17,18,18,NA,HR 8,2015
18,19,19,NA,HR 8,2015
19,20,20,NA,HR 8,2015
20,21,21,NA,HR 8,2015
21,22,22,NA,HR 8,2015
22,23,23,NA,HR 8,2015
23,24,24,NA,HR 8,2015
24,25,25,NA,HR 8,2015
25,26,26,NA,HR 8,2015
26,27,27,NA,HR 8,2015
27,28,28,NA,HR 8,2015
28,29,29,NA,HR 8,2015
29,30,30,NA,HR 8,2015
0,1,1,0.0110360307924599,HR 9,2015
1,2,2,0.05546224180389013,HR 9,2015
2,3,3,0.09059548312322621,HR 9,2015
3,4,4,0.09078279884477777,HR 9,2015
4,5,5,0.08729138946628996,HR 9,2015
5,6,6,0.10223847038030581,HR 9,2015
6,7,7,0.1217386886023375,HR 9,2015
7,8,8,0.13079284262073534,HR 9,2015
8,9,9,0.11627568858779871,HR 9,2015
9,10,10,0.08834229265351203,HR 9,2015
10,11,11,0.05739330570100542,HR 9,2015
11,12,12,0.027997005101596063,HR 9,2015
12,13,13,0.008711468466457505,HR 9,2015
13,14,14,0.0032881083062117986,HR 9,2015
14,15,15,0.002204390304504222,HR 9,2015
15,16,16,0.0012590219452871104,HR 9,2015
16,17,17,5.153809548606896e-4,HR 9,2015
17,18,18,8.381957465255737e-5,HR 9,2015
18,19,19,NA,HR 9,2015
19,20,20,NA,HR 9,2015
20,21,21,NA,HR 9,2015
21,22,22,NA,HR 9,2015
22,23,23,NA,HR 9,2015
23,24,24,NA,HR 9,2015
24,25,25,NA,HR 9,2015
25,26,26,NA,HR 9,2015
26,27,27,NA,HR 9,2015
27,28,28,NA,HR 9,2015
28,29,29,NA,HR 9,2015
29,30,30,0.003991572770091261,HR 9,2015
0,1,1,0.011293995679312961,HR10,2015
1,2,2,0.05839742576209208,HR10,2015
2,3,3,0.08437786807345263,HR10,2015
3,4,4,0.10857275960112774,HR10,2015
4,5,5,0.13125454835892791,HR10,2015
5,6,6,0.1390025235834894,HR10,2015
6,7,7,0.14034396472371272,HR10,2015
7,8,8,0.12489325028865737,HR10,2015
8,9,9,0.09229467468840136,HR10,2015
9,10,10,0.051929843419578854,HR10,2015
10,11,11,0.029769769031282693,HR10,2015
11,12,12,0.0184656093583263,HR10,2015
12,13,13,0.0065440253195358485,HR10,2015
13,14,14,0.0020909810241215225,HR10,2015
14,15,15,6.901302903103667e-4,HR10,2015
15,16,16,7.863079767022781e-5,HR10,2015
16,17,17,NA,HR10,2015
17,18,18,NA,HR10,2015
18,19,19,NA,HR10,2015
19,20,20,NA,HR10,2015
20,21,21,NA,HR10,2015
21,22,22,NA,HR10,2015
22,23,23,NA,HR10,2015
23,24,24,NA,HR10,2015
24,25,25,NA,HR10,2015
25,26,26,NA,HR10,2015
26,27,27,NA,HR10,2015
27,28,28,NA,HR10,2015
28,29,29,NA,HR10,2015
29,30,30,NA,HR10,2015
0,1,1,0.042463092955962047,HR11,2015
1,2,2,0.15585405966141688,HR11,2015
2,3,3,0.16231585613456745,HR11,2015
3,4,4,0.13200156070041583,HR11,2015
4,5,5,0.11788999561130206,HR11,2015
5,6,6,0.10418676114768517,HR11,2015
6,7,7,0.07899987856022721,HR11,2015
7,8,8,0.05786819988603394,HR11,2015
8,9,9,0.04034926751056487,HR11,2015
9,10,10,0.02960786366287768,HR11,2015
10,11,11,0.018958254358538196,HR11,2015
11,12,12,0.011161887250887499,HR11,2015
12,13,13,0.010313871563887663,HR11,2015
13,14,14,0.009883793148053368,HR11,2015
14,15,15,0.00729435110946699,HR11,2015
15,16,16,0.004322108145712115,HR11,2015
16,17,17,0.00382988695434684,HR11,2015
17,18,18,0.0034373451028972455,HR11,2015
18,19,19,0.0027635059618408226,HR11,2015
19,20,20,0.0016588285848760688,HR11,2015
20,21,21,0.0012102500815146986,HR11,2015
21,22,22,0.0013789862539599054,HR11,2015
22,23,23,0.0010609524304893553,HR11,2015
23,24,24,6.798455985021159e-4,HR11,2015
24,25,25,3.272409319675796e-4,HR11,2015
25,26,26,1.8235669200641853e-4,HR11,2015
26,27,27,NA,HR11,2015
27,28,28,NA,HR11,2015
28,29,29,NA,HR11,2015
29,30,30,NA,HR11,2015
0,1,1,0.08547189939990917,HR12,2015
1,2,2,0.4006827987606242,HR12,2015
2,3,3,0.2876296543823831,HR12,2015
3,4,4,0.10211649537718642,HR12,2015
4,5,5,0.05621173019874852,HR12,2015
5,6,6,0.03269751630012675,HR12,2015
6,7,7,0.016842856241041648,HR12,2015
7,8,8,0.009155118689406798,HR12,2015
8,9,9,0.003725062952794117,HR12,2015
9,10,10,0.0011924207519024965,HR12,2015
10,11,11,7.580215492379212e-4,HR12,2015
11,12,12,5.859690626648139e-4,HR12,2015
12,13,13,5.333242831338141e-4,HR12,2015
13,14,14,5.740517283176537e-4,HR12,2015
14,15,15,5.643485292715878e-4,HR12,2015
15,16,16,5.050689942016138e-4,HR12,2015
16,17,17,4.3128669670925053e-4,HR12,2015
17,18,18,2.2616784266239406e-4,HR12,2015
18,19,19,9.620825967776483e-5,HR12,2015
19,20,20,NA,HR12,2015
20,21,21,NA,HR12,2015
21,22,22,NA,HR12,2015
22,23,23,NA,HR12,2015
23,24,24,NA,HR12,2015
24,25,25,NA,HR12,2015
25,26,26,NA,HR12,2015
26,27,27,NA,HR12,2015
27,28,28,NA,HR12,2015
28,29,29,NA,HR12,2015
29,30,30,NA,HR12,2015
0,1,1,0.07817236730744577,HR13,2015
1,2,2,0.1476671452048542,HR13,2015
2,3,3,0.12703072857338896,HR13,2015
3,4,4,0.10507038971508591,HR13,2015
4,5,5,0.09885108648274028,HR13,2015
5,6,6,0.09880937435020987,HR13,2015
6,7,7,0.09141076033331844,HR13,2015
7,8,8,0.08010000873034345,HR13,2015
8,9,9,0.06602650562241927,HR13,2015
9,10,10,0.0450709034047204,HR13,2015
10,11,11,0.025849619408843068,HR13,2015
11,12,12,0.014945745958410177,HR13,2015
12,13,13,0.009360598627697002,HR13,2015
13,14,14,0.006338005420704875,HR13,2015
14,15,15,0.0033131751414117346,HR13,2015
15,16,16,0.0013131874351285933,HR13,2015
16,17,17,5.653168180184028e-4,HR13,2015
17,18,18,1.0508146525961579e-4,HR13,2015
18,19,19,NA,HR13,2015
19,20,20,NA,HR13,2015
20,21,21,NA,HR13,2015
21,22,22,NA,HR13,2015
22,23,23,NA,HR13,2015
23,24,24,NA,HR13,2015
24,25,25,NA,HR13,2015
25,26,26,NA,HR13,2015
26,27,27,NA,HR13,2015
27,28,28,NA,HR13,2015
28,29,29,NA,HR13,2015
29,30,30,NA,HR13,2015
0,1,1,0.062324271922101264,HR14,2015
1,2,2,0.11762305710947549,HR14,2015
2,3,3,0.11995361738916549,HR14,2015
3,4,4,0.071629606998169,HR14,2015
4,5,5,0.06921754367359542,HR14,2015
5,6,6,0.09220652275542011,HR14,2015
6,7,7,0.12703398905895083,HR14,2015
7,8,8,0.155853215706227,HR14,2015
8,9,9,0.12449250106617833,HR14,2015
9,10,10,0.04845059451439248,HR14,2015
10,11,11,0.008925910706048687,HR14,2015
11,12,12,0.0018517237629605702,HR14,2015
