bin_start,bin_break,bin_index,frequency,site,year
0,1.5,1,0.11262534768315381,HR 1,2015
1.5,3,2,0.322756409978548,HR 1,2015
3,4.5,3,0.22981283045834733,HR 1,2015
4.5,6,4,0.12610286257991252,HR 1,2015
6,7.5,5,0.08120292069310973,HR 1,2015
7.5,9,6,0.05683357363938098,HR 1,2015
9,10.5,7,0.0377232390641926,HR 1,2015
10.5,12,8,0.022863890878191687,HR 1,2015
12,13.5,9,0.008710840950057459,HR 1,2015
13.5,15,10,0.0013593489249107919,HR 1,2015
15,16.5,11,8.735150195137186e-6,HR 1,2015
16.5,18,12,NA,HR 1,2015
18,19.5,13,NA,HR 1,2015
19.5,21,14,NA,HR 1,2015
21,22.5,15,NA,HR 1,2015
22.5,24,16,NA,HR 1,2015
24,25.5,17,NA,HR 1,2015
25.5,27,18,NA,HR 1,2015
27,28.5,19,NA,HR 1,2015
28.5,30,20,NA,HR 1,2015
0,1.5,1,0.3832625030957357,HR 2,2015
1.5,3,2,0.4794665371395697,HR 2,2015
3,4.5,3,0.09627891285363196,HR 2,2015
4.5,6,4,0.031542071150975806,HR 2,2015
6,7.5,5,0.00870328363009561,HR 2,2015
7.5,9,6,7.466921299912318e-4,HR 2,2015
9,10.5,7,NA,HR 2,2015
10.5,12,8,NA,HR 2,2015
12,13.5,9,NA,HR 2,2015
13.5,15,10,NA,HR 2,2015
15,16.5,11,NA,HR 2,2015
16.5,18,12,NA,HR 2,2015
18,19.5,13,NA,HR 2,2015
19.5,21,14,NA,HR 2,2015
21,22.5,15,NA,HR 2,2015
22.5,24,16,NA,HR 2,2015
24,25.5,17,NA,HR 2,2015
25.5,27,18,NA,HR 2,2015
27,28.5,19,NA,HR 2,2015
28.5,30,20,NA,HR 2,2015
0,1.5,1,0.4244885484166179,HR 3,2015
1.5,3,2,0.38157203728898065,HR 3,2015
3,4.5,3,0.1097938088911928,HR 3,2015
4.5,6,4,0.05353837140759853,HR 3,2015
6,7.5,5,0.024300225237704358,HR 3,2015
7.5,9,6,0.006184745875656183,HR 3,2015
9,10.5,7,1.2226288224960238e-4,HR 3,2015
10.5,12,8,NA,HR 3,2015
12,13.5,9,NA,HR 3,2015
13.5,15,10,NA,HR 3,2015
15,16.5,11,NA,HR 3,2015
16.5,18,12,NA,HR 3,2015
18,19.5,13,NA,HR 3,2015
19.5,21,14,NA,HR 3,2015
21,22.5,15,NA,HR 3,2015
22.5,24,16,NA,HR 3,2015
24,25.5,17,NA,HR 3,2015
25.5,27,18,NA,HR 3,2015
27,28.5,19,NA,HR 3,2015
28.5,30,20,NA,HR 3,2015
0,1.5,1,0.3036853251264676,HR 4,2015
1.5,3,2,0.40400752189212635,HR 4,2015
3,4.5,3,0.12183395913330737,HR 4,2015
4.5,6,4,0.07739191759275381,HR 4,2015
6,7.5,5,0.04571865457330833,HR 4,2015
7.5,9,6,0.029066421371279117,HR 4,2015
9,10.5,7,0.013857520921857118,HR 4,2015
10.5,12,8,0.003916488563215464,HR 4,2015
12,13.5,9,5.221908256848378e-4,HR 4,2015
13.5,15,10,NA,HR 4,2015
15,16.5,11,NA,HR 4,2015
16.5,18,12,NA,HR 4,2015
18,19.5,13,NA,HR 4,2015
19.5,21,14,NA,HR 4,2015
21,22.5,15,NA,HR 4,2015
22.5,24,16,NA,HR 4,2015
24,25.5,17,NA,HR 4,2015
25.5,27,18,NA,HR 4,2015
27,28.5,19,NA,HR 4,2015
28.5,30,20,NA,HR 4,2015
0,1.5,1,0.2727365855151657,HR 5,2015
1.5,3,2,0.37977516840487974,HR 5,2015
3,4.5,3,0.15829016964260742,HR 5,2015
4.5,6,4,0.09631049870699639,HR 5,2015
6,7.5,5,0.05473765810641764,HR 5,2015
7.5,9,6,0.027980575644890544,HR 5,2015
9,10.5,7,0.00923249418602446,HR 5,2015
10.5,12,8,9.368497930180749e-4,HR 5,2015
12,13.5,9,NA,HR 5,2015
13.5,15,10,NA,HR 5,2015
