bin_index,count,bin_start,bin_end,year,frequency,site
2,516,2,4,2015,0.06570737297847956,HR 1
3,2310,4,6,2015,0.29415509996179806,HR 1
4,1607,6,8,2015,0.2046351712721253,HR 1
5,1110,8,10,2015,0.14134725582579905,HR 1
6,828,10,12,2015,0.1054374124538393,HR 1
7,1054,12,14,2015,0.13421622309945244,HR 1
8,399,14,16,2015,0.05080860817521966,HR 1
9,29,16,18,2015,0.003692856233286642,HR 1
1,1326,0,2,2015,0.16874522779333165,HR 2
2,4291,2,4,2015,0.5460677017052685,HR 2
3,1409,4,6,2015,0.17930771188597608,HR 2
4,652,6,8,2015,0.0829727666072792,HR 2
5,180,8,10,2015,0.022906592008144565,HR 2
1,764,0,2,2015,0.09720101781170483,HR 3
2,3534,2,4,2015,0.449618320610687,HR 3
3,1577,4,6,2015,0.20063613231552163,HR 3
4,1226,6,8,2015,0.15597964376590331,HR 3
5,733,8,10,2015,0.09325699745547074,HR 3
6,26,10,12,2015,0.0033078880407124683,HR 3
1,3879,0,2,2015,0.49439204690288047,HR 4
2,1534,2,4,2015,0.19551363752230436,HR 4
3,776,4,6,2015,0.09890390007647208,HR 4
4,602,6,8,2015,0.07672699464695386,HR 4
5,453,8,10,2015,0.05773642620443538,HR 4
6,437,10,12,2015,0.055697170532755545,HR 4
7,155,12,14,2015,0.01975528931939842,HR 4
8,10,14,16,2015,0.0012745347947998981,HR 4
1,1024,0,2,2015,0.13032964235713376,HR 5
2,2460,2,4,2015,0.3130966017563956,HR 5
3,1439,4,6,2015,0.18314878452335498,HR 5
4,1419,6,8,2015,0.1806032836960672,HR 5
5,1018,8,10,2015,0.12956599210894743,HR 5
6,457,10,12,2015,0.05816469390352552,HR 5
7,40,12,14,2015,0.005091001654575537,HR 5
1,3630,0,2,2015,0.4618908258048098,HR 6
2,2982,2,4,2015,0.37943758747932305,HR 6
3,979,4,6,2015,0.1245705560503881,HR 6
4,246,6,8,2015,0.0313016923272681,HR 6
5,22,8,10,2015,0.0027993383382109685,HR 6
1,602,0,2,2015,0.07660007634559104,HR 7
2,2888,2,4,2015,0.367476778216058,HR 7
3,1813,4,6,2015,0.23069092759893117,HR 7
4,1560,6,8,2015,0.198498536709505,HR 7
5,846,8,10,2015,0.10764728336938542,HR 7
6,105,10,12,2015,0.01336047843237053,HR 7
7,45,12,14,2015,0.005725919328158799,HR 7
1,183,0,2,2015,0.02329726288987906,HR 8
2,861,2,4,2015,0.10961171228516868,HR 8
3,2622,4,6,2015,0.33380012730744746,HR 8
4,2007,6,8,2015,0.2555060471037556,HR 8
5,1321,8,10,2015,0.16817313812858053,HR 8
6,589,10,12,2015,0.07498408656906429,HR 8
7,217,12,14,2015,0.027625716104392108,HR 8
8,55,14,16,2015,0.007001909611712286,HR 8
1,346,0,2,2015,0.04404276985743381,HR 9
2,455,2,4,2015,0.05791751527494908,HR 9
3,1051,4,6,2015,0.13378309572301425,HR 9
4,1535,6,8,2015,0.19539205702647658,HR 9
5,2187,8,10,2015,0.27838594704684316,HR 9
6,1852,10,12,2015,0.23574338085539714,HR 9
7,353,12,14,2015,0.044933808553971485,HR 9
8,70,14,16,2015,0.008910386965376781,HR 9
9,7,16,18,2015,8.910386965376783e-4,HR 9
1,96,0,2,2015,0.012223071046600458,HR10
2,159,2,4,2015,0.02024446142093201,HR10
3,515,4,6,2015,0.06557168321874204,HR10
4,1867,6,8,2015,0.23771326712503182,HR10
5,2484,8,10,2015,0.3162719633307869,HR10
6,1772,10,12,2015,0.2256175197351668,HR10
7,857,12,14,2015,0.10911637382225617,HR10
8,104,14,16,2015,0.01324166030048383,HR10
1,810,0,2,2015,0.10313216195569137,HR11
2,1126,2,4,2015,0.14336643748408454,HR11
3,1002,4,6,2015,0.12757830404889228,HR11
4,1829,6,8,2015,0.23287496816908582,HR11
5,1684,8,10,2015,0.2144130379424497,HR11
6,653,10,12,2015,0.0831423478482302,HR11
7,299,12,14,2015,0.03806977336389101,HR11
8,175,14,16,2015,0.022281639928698752,HR11
9,87,16,18,2015,0.011077158135981665,HR11
10,86,18,20,2015,0.010949834479246244,HR11
11,41,20,22,2015,0.0052202699261522795,HR11
12,26,22,24,2015,0.0033104150751209573,HR11
13,27,24,26,2015,0.003437738731856379,HR11
14,3,26,28,2015,3.819709702062643e-4,HR11
NA,6,NA,NA,2015,7.639419404125286e-4,HR11
1,597,0,2,2015,0.0760122230710466,HR12
2,6235,2,4,2015,0.7938629997453527,HR12
3,755,4,6,2015,0.09612936083524319,HR12
4,267,6,8,2015,0.033995416348357524,HR12
1,454,0,2,2015,0.05784176328194675,HR13
2,925,2,4,2015,0.11784940756784304,HR13
3,990,4,6,2015,0.1261307172888266,HR13
4,1132,6,8,2015,0.14422219391005223,HR13
5,1789,8,10,2015,0.22792712447445534,HR13
6,1426,10,12,2015,0.1816791948018856,HR13
7,594,12,14,2015,0.07567843037329595,HR13
8,365,14,16,2015,0.04650273920244617,HR13
9,144,16,18,2015,0.01834628615110205,HR13
10,30,18,20,2015,0.003822142948146261,HR13
1,3805,0,2,2015,0.4842199032832782,HR14
2,452,2,4,2015,0.0575209977093408,HR14
3,282,4,6,2015,0.03588699414609316,HR14
4,518,6,8,2015,0.06592008144566047,HR14
5,1929,8,10,2015,0.24548231102061593,HR14
6,836,10,12,2015,0.10638839399338254,HR14
7,36,12,14,2015,0.004581318401628913,HR14
1,2061,0,2,2015,0.26234725050916496,HR15
2,922,2,4,2015,0.11736252545824848,HR15
3,500,4,6,2015,0.06364562118126273,HR15
4,716,6,8,2015,0.09114052953156823,HR15
5,1755,8,10,2015,0.22339613034623218,HR15
6,1539,10,12,2015,0.1959012219959267,HR15
7,362,12,14,2015,0.04607942973523422,HR15
8,1,14,16,2015,1.2729124236252545e-4,HR15
1,668,0,2,2015,0.08505220269926152,SP 1
2,1229,2,4,2015,0.15648077412783296,SP 1
3,1629,4,6,2015,0.20741023682200152,SP 1
